,0,1,2,3,4,5
12,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Industrial-training-for-women/article15793870.ece,national,tamilnadu,Industrial training for women,"The Rotary Club of Thuraiyur in Tiruchi district recently inaugurated Ponmagal free industrial training for women on Sowdambika Matriculation Higher Secondary School campus at Thuraiyur. Rotary District Governor T.Valliappan who inaugurated the Ponmagal training for women, said the training would enable the women to start their own units for earning their livelihood . Ponmagal president P.Balasundaram presided. S.Premalatha, Director of Sowdambika School and J.Karthik, Rotary Deputy Governor spoke.",0
13,http://www.thehindu.com/todays-paper/tp-sports/dedeepya-made-to-dig-deep/article19152690.ece,sports,None,Dedeepya made to dig deep,"Qualifier Sai Dedeepya outlasted 6-2, 3-6, 7-6(5) Yubarani Banerjee in the women’s first round of the AITA ranking tennis tournament at the CLTA Complex on Monday. In the men’s section, Parth Aggarwal fought his way past Vaibhav Kundu 7-6(5), 4-6, 6-3. The results (first round): Men: Hardeep Singh Sandhu bt Digvijay Singh Mehta 6-4, 6-3; Yuvraj Singh bt Himanshu Sagar 6-7(5), 7-5, 6-3; Saurav Sukul bt Nikhilesh Kanojia 6-1, 6-1; Abhishek Gaur bt Neeraj Yashpal 6-4, 6-2; Chinmay Dev Chauhan bt Uday Singh Maan 6-1, 6-3; Anshuman Gulia bt Utkarsh Bhardwaj 6-3, 6-3; Mohit Bhardwaj bt Atharva Sharma 6-2, 6-1; Yugal Bansal bt Puru Upadhyay 6-1, 6-1; Amit Beniwal bt Koonwar Gupta 7-6(5), 6-2; Amit Bzad bt Yashvardhan Singh 6-4, 6-3; Udayan Bhakar bt Himanshu Mor 6-1, 6-0; Jagmeet Singh bt Gunjan Jadhav 6-3, 6-2; Sultan Singh Atwal bt Sunil Malik 6-2, 5-7, 6-1; Amarnath Arora bt Manninder Singh 6-1, 6-4; Archit Jain bt Drona Walia 6-0, 6-2; Parth Aggarwal bt Vaibhav Kundu 7-6(5), 4-6, 6-3. Women: Shweta Rana w.o. Prakriti Banwani; Sharannya Sethi bt Ajita Dangwal 6-0, 6-0; Aarthi Muniyan bt Harleen Kaur 6-3, 7-5; Sai Dedeepya bt Yubarani Banerjee 6-2, 3-6, 7-6(5); Smriti Singh bt Neha Ghare 6-2, 5-7, 7-5; Prinkle Singh bt Nikita Bishnoi 6-4, 6-1; Shivani Sravya bt Himani Mor 6-4, 1-0 (concd.); Ashpreet Kaur Bajwa bt Adrija Biswas 6-3, 3-6, 6-1; Nidhi Surapaneni bt Seerat Kaur Pannu 7-6(4), 6-0; Shilpi Swaropadas bt Vibhashree Gowda 6-1, 1-6, 6-1; Kaavya Sawhney bt Harshita Chugh 6-3, 6-2; Shruti Gupta bt Arushi Kakkar 6-1, 6-0; Rahat Mangat w.o. Teertha Iska; Snehal Mane bt Vaidehi Kackar 6-3, 6-2; Sara Yadav bt Lalita Devarakonda 6-3, 0-6, 6-3.",0
14,http://www.thehindu.com/todays-paper/tp-features/tp-fridayreview/music/article6812662.ece,features,fridayreview,music,"Since the festival is a celebration of Tyagaraja’s genius, the artistes give a lot of importance to the lyrical contents of his compositions.",0
15,http://www.thehindu.com/todays-paper/tp-national/tp-kerala/VS-releases-journal-on-Krishna-Iyer/article16339981.ece,national,kerala,VS releases journal on Krishna Iyer,"Ministers are “oath-bound” and should be committed to the Constitution, jurist V.R. Krishna Iyer has said. Mr. Iyer made these remarks in the presence of Chief Minister V.S. Achuthanandan at a function at which the special edition of Naithika Samvadam magazine on Mr. Iyer was released here on Monday. There were debates whether ministers were committed to the political parties or the Constitution. While assuming office, ministers take the oath that they will uphold the Constitution and discharge their duties without fear or favour. The Constitution is supreme and ministers should be committed to it, Mr. Iyer said. Referring to the recent clashes between lawyers and the police on the Madras High Court premises, Mr. Iyer said they were “the signs of degradation of morals”. Releasing the special issue, Mr. Achuthanandan said Mr. Iyer had always used his in-depth knowledge of the Constitution and the law for the benefit of society. Mr. Iyer had served society in various capacities. Senior journalist K.M. Roy received the first copy of the magazine. Journalist Leela Menon and Basheer Kallelil spoke. R. Padmakumar, editor of the magazine, and Sivan Madathil, advocate, attended. Later, talking to mediapersons, Mr. Achuthanandan congratulated Resul Pokutty and A.R. Rahman on winning the Oscar awards. On a question whether he will be participating in the Nava Kerala March led by CPI(M) State secretary Pinarayi Vijayan, Mr. Achuthanandan said he had commented on the issue earlier.",0
16,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/constable-and-si-allege-harassment-by-higherup/article3144998.ece,national,andhrapradesh,Constable and SI allege harassment by higher-up,"Special Correspondent Senior officers reportedly trying to sort out issue VISAKHAPATNAM: The Police Stadium, which also houses the headquarters of the City Armed Reserve located , witnessed a rare incident of a constable and a Sub-Inspector staging a silent protest. Constable Sanyasi Sahu and Sub-Inspector P. Balaji alleged that a top official of the Armed Reserve Police here is subjecting them to severe harassment. They said that they had no other option but to come out openly against him. While Mr. Sahu said that he was being burdened with additional work, Mr. Balaji found the harassment unbearable and decided to come out openly against his higher-up. Incidentally, the officer against whom they made the allegations resumed duty on Saturday after recovering from the injuries he had suffered in the police-fishermen clashes in Gangavaram on March 27. Some police personnel intervened and urged them to give up their protest - but to no avail. They poured out their woes to the reporters and photographers who reached the Police Stadium on hearing about the incident. However, the police forced the press corps to leave the premises. According to sources, some senior officers were trying to sort out the issue.",1
17,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/abducted-businessman-rescued/article2289374.ece,national,tamilnadu,Abducted businessman rescued,"Special teams of the Coimbatore City Police arrested five persons on the charge of abducting a businessman for ransom. The businessman was rescued. City Police Commissioner Amaresh Pujari said that S. Manikandan was running a knitwear waste business in Gandhipuram along with T. Jayakumar. The latter said to have demanded money from the former for the loss in business. Jayakumar along with K. Muthukumar (27) of Thoothukudi, D. Prabhu (22) of Virudhunagar, R. Govarthinam of Tirupur and S. Narayanan (25) of Thoothukudi abducted Manikandan on July 21 and demanded Rs. 3.25 lakh from Kannammal, Manikandan's mother. Based on a complaint from Kannammal, a case was registered. Special teams led by Inspector P. Sakthivel arrested the five accused and rescued Manikandan. All the accused were remanded to judicial custody.",0
18,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Hospital-gets-new-building/article14554013.ece,national,tamilnadu,Hospital gets new building,"The Government district headquarters hospital which was upgraded as Medical College hospital four years ago has emerged as a premier hospital with Chief Minister Jayalalithaa inaugurating a new building with additional facilities for establishing speciality ward, emergency ward, intensive care unit and a geriatric ward for senior citizens. Ms. Jayalalithaa inaugurated through video conferencing the ground plus two floor building, built at a cost of Rs. 5 crore inside the hospital premises here on Friday in the presence of Collector S. Natarajan, Dr. A. Sahaya Stephen Raj, Joint Director (Health) and Dr. K. Krishnamoorthy, Hospital Superintendent. The 33,415 square-foot new building has facilities to provide speciality treatment for out-patients, 12-bed emergency ward, 24-bed male ward, 50-bed speciality ward, 12 bed Intensive Care Unit, 12-bed Geriatric ward and 10-bed ward for convicts, Dr. Krishnamoorthy said. In addition, the existing eye, ENT and dental care wards would be shifted to the new building and all the wards would start functioning in a week to ten days, he said. After the Chief Minister inaugurated the building through video conferencing from the Secretariat in Chennai, the Collector distributed sweets to the public who turned up to witness the event. Barring neurology, the 560-bed hospital has all departments and latest infrastructure facilities. It has 100 per cent bed occupancy and caters to about 1,600 outpatients every day. It has five operation theatres and conducts 700 major surgeries in a month, hospital sources said. The nephrology department conducted 15 dialysis cycles a day, they added.",0
19,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/ssc-advancedsupplementary-fee/article2094941.ece,national,andhrapradesh,SSC advancedsupplementary fee,"SSC advanced supplementary fee The Director of Government Examinations has asked secondary schools to accept examination fee for the SSC Advanced Supplementary Exams even two days before the commencement of the exam. A late fee of Rs. 50 may be charged for issue of hall tickets, a release stated. – Staff Reporter",0
20,http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/Tihar-death-case-registered/article14782142.ece,national,newdelhi,Tihar death: case registered,"In a new twist to the mystery behind the spate of deaths inside the high-security Tihar Central Jail here earlier this month, a case of culpable homicide not amounting to murder has been registered against unnamed persons at the Hari Nagar police station here in connection with the death of a 31-year-old inmate. According to the police, the case was registered on Friday night based on the findings of a probe by a Metropolitan Magistrate into the deaths. The probe has reportedly attributed the death of inmate Harish to physical injuries and not natural causes. Harish, a resident of Bharat Nagar in Ashok Vihar, was arrested under Sections 107 and 151 of Cr.P.C. on June 7. On June 9 he complained of uneasiness following which he was taken to hospital. He was declared dead around 7 p.m. The jail authorities had said that he was a drug addict. The Delhi High Court had also taken cognisance of the series of deaths and sought replies from the Delhi Government and the Tihar Central Jail authorities.",0
21,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/infrastructure-woes-plague-udhagamandalam/article18169010.ece,national,tamilnadu,Infrastructure woes plague Udhagamandalam,"Despite the summer festival in the Nilgiris being just around the corner, the civic infrastructure, especially roads and parking spaces for the huge influx of tourist vehicles, still seems to be lacking. While the main roads leading to major tourist spots require some maintenance work, there also needs enough planning to ensure that tourists and residents have enough space to park their vehicles during the coming season. G. Janardhanan, president of the Ooty Town Public Awareness Trust, said that roads that had been dug up for drains, cable pipes and other works had still not been repaired fully. Mr. Janardhanan especially highlighted the poor conditions of the Commissioner’s Road, and also roads leading to the District SP’s office and the Udhagamandalam GH. Moreover, parking spaces also remain a major concern with not many designated spots being earmarked for cars and two-wheelers within the town even during the off-season. Mr. Janardhanan said that with the huge influx of tourists in the coming weeks, the situation would only become progressively worse. “There had been a few long-term plans to turn cover the Kodappamund Channel and allow vehicles to be parked there, but nothing has come to fruition. Now, we need to find some temporary solutions by approaching private players to allow tourists to park their vehicles there,” he said. V. Prabhakaran, Chief Health Officer and Commissioner (in-charge), Udhagamandalam Municipality, said that work to rectify Khandal Main Road, which had been dug up for UGD work, had been intensified over the last few weeks, while work had begun to repair the damaged Commissioner’s Road, Hospital Road, Upper Bazaar and Main Bazaar. “We have also submitted a proposal to the Commissionerate of Municipal Administration seeking Rs. 16 crore to repair all the damaged roads in the town,” said Mr. Prabhakaran, who added that most of the affected roads were dug up for the implementation of the third water scheme.",0
22,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/encyclopaedia-on-folklore-is-ready/article3934024.ece,national,karnataka,Encyclopaedia on folklore is ready,"Gulbarga University has come out with a first ever regional encyclopaedia on folklore containing infinitesimal details of the rich folklore of the Hyderabad Karnataka region and the artistes and writers who helped keep the art alive. The Hyderabad Karnataka Cultural Encyclopaedia has been edited by noted folklorist P.K. Khandoba, who heads the Department of Journalism and Mass Communication at the Gulbarga University. Prof. Khandoba has penned more than 40 books and published over 100 research papers in national and international journals. He said this is the first ever regional encyclopaedia on folklore covering the different forms of folk art prevalent in Hyderabad Karnataka region, which may have gone unnoticed by the people of the State and the country. One of the features of the 551-page encyclopaedia is the detailed history of the folk art and the life history of the present and past artistes who strived to keep alive the art without support from the government, but depending on the goodwill of the society. Prof. Khandoba said that it took him two years to collect and collate the data. This is the first work to be brought out using funds under the centrally assisted Classical Language Development Programme. Funds sanctioned He said the State government, through which the funds was routed for taking up various activities for the development of the Kannada language, had sanctioned Rs. 1 crore to Gulbarga University to take up various research and development activities to enrich the language, art and its culture. The encyclopaedia is to be released for public consumption shortly. Prof. Khandoba had originally intended to bring out four volumes of the encyclopaedia, including Folklore, Visual Art, Kannada Literature and Comprehensive Development of the Language. However, the Gulbarga University had sanctioned only Rs. 10 lakh to prepare the encyclopaedia on Folklore and Visual Art. Prof. Khandoba said that the second volume, containing details on visual art of the Hyderabad Karnataka region and its artists was ready and had been sent for printing. Incidentally, Hyderabad Karnataka region is known as the cradle of visual art as it has produced several world renowned artists, whose works adorn the walls of famous museums and art galleries around the world and of private collectors. First work to be brought out using funds under Classical Language Development Programme It is to be released for public consumption soon",0
24,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/CPI-protests-against-price-rise-in-Davangere/article15575697.ece,national,karnataka,CPI protests against price rise in Davangere,"A large number of CPI activists took out a procession in protest against the Centre's failure to contain prices of essential commodities and also against the land scams reported in the State. The activists were led by CPI leaders H.K. Ramachandrappa and Avaragere Chandru. Addressing the protesters, Mr. Ramachandrappa said that the steep rise in prices had made life difficult for middle class and lower middle class people. The state of the poor could only be imagined, he added. Mr. Ramachandrappa also criticised the BJP Government in the State for wasting its time in settling scores with the JD(S), which had levelled charges against the Government with regard to land scams. He said that the Government should concentrate on developmental works and implementation of pro-poor schemes.",1
25,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Merge-village-libraries-official/article14822721.ece,national,tamilnadu,Merge village libraries: official,"Libraries functioning under the Continuing Education Programme (CEP) should be merged with the new libraries being established under the ‘Anaithu Grama Anna Marumalarchi Thittam’ (AGAMT) so that each village panchayat will have a full-fledged library catering to the needs of the rural people, Director of Rural Development and Local Administration Gangandeep Singh Bedi has said. Presiding over an official meeting to review the ongoing AGAMT works in the district, Mr. Singh said the merger, facilitating the availability of books and journals at a single place, would benefit the villagers in a big way. On the maintenance of tanks, he directed the Rural Development officials to ensure that those identified for desilting and deepening programmes were in the vicinity of the panchayats, so that villagers were able to derive maximum benefit. A photograph of the present condition of the tanks should be taken before starting the exercise. He reviewed works on setting up playgrounds, one of the important infrastructure developmental programmes under AGMAT",0
26,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/jvv-plans-campaign-seeking-toilets-in-schools/article6368433.ece,national,andhrapradesh,JVV plans campaign seeking toilets in schools,"The Jana Vignana Vedika (JVV) will launch a sustained campaign this September, demanding construction of toilets in schools in accordance with the Supreme Court orders, its district general secretary A. Raghunatha Reddy said on Sunday. The campaign includes distribution of pamphlets, round table conferences and submission of memoranda to officials concerned as lack of toilets in schools posed problems to students, especially girls , he said at a JVV meeting held at the C.P. Brown Language Research Centre here. The Vedika would also launch a membership drive in October and would enrol intellectuals, academicians, teachers, employees and experts, Mr. Reddy said. Chekumuki science talent tests would be held across the State on November 7. Padayatra JVV activists would take part in a padayatra mooted by Kovvuri Ramesh Reddy from Proddatur to Tirumala from September 4 to 13 to propagate the need for organ donations. It would conduct Teachers’ Day celebrations on September 5 and Gurazada Appa Rao’s jayanthi on September 21. JVV honorary president R. Chandrasekhar Reddy, city president Venkatarama Raju, general secretary Y.L. Narasimha Reddy and other leaders participated in the meeting. The Jana Vignana Vedika will launch a membership drive in October",0
27,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/pratisthan-to-bring-out-compendium/article4483369.ece,national,karnataka,Pratisthan to bring out compendium,"The Basavaraj Kattimani Pratisthan has decided to bring out a compendium of writers born in Belgaum district. For details, call Y.R. Patil, president of the Belgaum Kannada Sahitya Parishat (9900416117). — Special Correspondent",0
